time/time_elapsed,time/iterations,train/reward,time/total_timesteps,time/fps,train/std,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
32,36,0.8686904,73728,2244,1.0272241830825806,0.01435546875,0.00025,12.270158767700195,-0.0013148593949154018,30.660938441753387,0.0033656855,0.8804104998707771,0.2,350,-1.4382790051400662
33,37,0.02601882,75776,2245,1.029558777809143,0.009814453125,0.00025,140.6208953857422,-0.0009501371700025629,348.0708757400513,0.00291726,0.5430893301963806,0.2,360,-1.4476860448718072
34,38,0.6060481,77824,2244,1.0239804983139038,0.010009765625,0.00025,135.83279418945312,-0.0002920451064710505,446.37799615859984,0.0054864567,0.389030396938324,0.2,370,-1.4458256922662258
35,39,0.14145647,79872,2245,1.0277762413024902,0.007958984375,0.00025,17.68874168395996,-0.0007145120558561757,51.66696195602417,0.003575794,0.8299970030784607,0.2,380,-1.4444970205426215
36,40,-0.11404317,81920,2246,1.025256872177124,0.00400390625,0.00025,210.92611694335938,3.8918832433409986e-05,450.4663969993591,0.0018831935,0.47122931480407715,0.2,390,-1.445949377119541
37,41,5.6424437,83968,2248,1.0174190998077393,0.0142578125,0.00025,296.6085510253906,0.000519278526189737,557.2085861206054,0.001509803,0.3629329204559326,0.2,400,-1.438995798677206
38,42,3.8523808,86016,2249,1.0193352699279785,0.002685546875,0.00025,30.47502326965332,0.00014236593997338787,71.39197945594788,0.0029439763,0.8114462941884995,0.2,410,-1.4367653012275696
39,43,0.2352231,88064,2250,1.021505355834961,0.009033203125,0.00025,175.0695037841797,-0.0015725672186817975,500.21039123535155,0.001010333,0.49635499715805054,0.2,420,-1.439832477271557
40,44,0.7965936,90112,2250,1.0119638442993164,0.003662109375,0.00025,236.72792053222656,-0.0003881613811245188,520.08642578125,0.0017544307,0.426957368850708,0.2,430,-1.436324268579483
40,45,-3.678894,92160,2251,1.0112075805664062,0.003857421875,0.00025,42.335975646972656,-0.00016096799517981709,117.02245383262634,0.0020698525,0.7194527089595795,0.2,440,-1.430305252969265
41,46,-0.56110233,94208,2250,1.0123850107192993,0.0,0.00025,315.3868713378906,0.00013032275819568895,404.7357798099518,0.00018881742,0.5595241487026215,0.2,450,-1.429744689911604
42,47,9.027,96256,2249,1.0228732824325562,0.006689453125,0.00025,432.95794677734375,-6.62206846754998e-05,569.9579119682312,0.00022183542,0.44323045015335083,0.2,460,-1.4359039045870303
43,48,-6.672808,98304,2248,1.0313042402267456,0.006689453125,0.00025,61.086181640625,-0.00047032662405399606,145.033256149292,0.003908616,0.6647514402866364,0.2,470,-1.445714346319437
44,49,-0.5942256,100352,2247,1.0361220836639404,0.00751953125,0.00025,293.82513427734375,-0.001244366986793466,451.57096633911135,0.0014769427,0.5393814742565155,0.2,480,-1.4519652470946312
45,50,13.611571,102400,2248,1.0378706455230713,0.02578125,0.00025,245.14747619628906,-0.0006751928071025759,584.4847672462463,0.0047146548,0.4729727506637573,0.2,490,-1.4551780246198178
46,51,0.41462392,104448,2248,1.0402522087097168,0.018310546875,0.00025,97.54409790039062,-0.0014629695258918218,196.6770327091217,0.0038284305,0.6230147182941437,0.2,500,-1.4576772086322307
47,52,-1.9688084,106496,2249,1.0420511960983276,0.00595703125,0.00025,312.4373779296875,-0.001177669245225843,446.4548322677612,0.0016271968,0.5216411650180817,0.2,510,-1.459973755478859
48,53,-33.57573,108544,2250,1.047852635383606,0.04267578125,0.00025,255.23477172851562,-0.004346408936544322,509.0746603012085,0.003265928,0.5245665311813354,0.2,520,-1.4633408665657044
49,54,-2.9796185,110592,2251,1.0502663850784302,4.8828125e-05,0.00025,107.51736450195312,0.00046972235722932967,276.55080728530885,0.00032173676,0.5379312336444855,0.2,530,-1.46647267639637
49,55,-0.5664293,112640,2252,1.054152488708496,0.00068359375,0.00025,135.90750122070312,-3.0225980299292133e-05,257.65834255218505,0.0010374237,0.6461771726608276,0.2,540,-1.4706141732633113
50,56,-2.8384514,114688,2253,1.049046516418457,0.039208984375,0.00025,315.80596923828125,-0.0032844646731973624,501.0143538475037,0.005794704,0.5563056170940399,0.2,550,-1.4689502514898778
51,57,0.64829165,116736,2255,1.038182020187378,0.01123046875,0.00025,267.1380920410156,-0.0011810138486907818,520.1878271102905,0.002363592,0.3131193518638611,0.2,560,-1.4620178259909153
52,58,1.2026374,118784,2256,1.035807728767395,0.04296875,0.00025,15.413128852844238,-0.0032977637980366125,66.84076566696167,0.0059072133,0.864193320274353,0.2,570,-1.4552803933620453
53,59,0.02463151,120832,2256,1.035689115524292,0.02431640625,0.00025,197.1248779296875,-0.003331541764782742,526.5852363586425,0.002611484,0.5561544597148895,0.2,580,-1.4544942475855351
54,60,1.0488611,122880,2257,1.0304150581359863,0.003271484375,0.00025,278.7149353027344,-5.008851294405758e-05,567.7584266662598,0.00017075636,0.24696767330169678,0.2,590,-1.451501328498125
55,61,1.4737114,124928,2258,1.0184406042099,0.01748046875,0.00025,26.744434356689453,-0.0013329706445802004,44.897181355953215,0.0045396546,0.900801993906498,0.2,600,-1.4447045385837556
56,62,0.080266975,126976,2259,1.0182167291641235,0.005712890625,0.00025,302.7968444824219,-0.0007433002174366266,541.6251880645752,0.0021404591,0.5453166663646698,0.2,610,-1.4373051665723324
57,63,8.698393,129024,2260,1.0171070098876953,0.035546875,0.00025,143.47225952148438,-0.0004044387460453436,559.5593734741211,0.0017843029,0.2835949659347534,0.2,620,-1.4354151397943498
57,64,-0.91794145,131072,2260,1.0243504047393799,0.001171875,0.00025,25.5755615234375,-0.00032996971131069584,51.92189751863479,0.0010874823,0.8923447802662849,0.2,630,-1.4392238870263099
58,65,-0.06847353,133120,2258,1.0277211666107178,0.00087890625,0.00025,263.605224609375,0.00015746689241495914,517.9968351364136,0.0017344549,0.5453214347362518,0.2,640,-1.4442771680653095
59,66,6.614986,135168,2258,1.026087999343872,0.003125,0.00025,418.13128662109375,0.0005408600074588322,578.063289642334,0.0009004057,0.3440907597541809,0.2,650,-1.4461415745317936
60,67,-1.2315227,137216,2259,1.03016197681427,0.0037109375,0.00025,29.408082962036133,-0.000238234072457999,59.112932205200195,0.001081611,0.8737387955188751,0.2,660,-1.4459458976984023
61,68,0.34752348,139264,2260,1.02128005027771,0.0017578125,0.00025,379.4967346191406,-0.00040424829567200506,544.7296016693115,0.0016769684,0.5172855257987976,0.2,670,-1.4450568214058876
62,69,-6.1376925,141312,2261,1.0107028484344482,0.007568359375,0.00025,256.98065185546875,-0.0004023613248136826,634.9986211776734,0.0033515212,0.3729633092880249,0.2,680,-1.4340839818120004
63,70,-0.7106261,143360,2262,1.0143132209777832,0.006103515625,0.00025,32.306617736816406,-0.0004065471875946969,75.25807909965515,0.002494467,0.8526451140642166,0.2,690,-1.4304715625941753
64,71,0.18006095,145408,2259,1.0121601819992065,0.0267578125,0.00025,285.6656188964844,-0.003378982398135122,530.983944606781,0.0046009086,0.5343126356601715,0.2,700,-1.4322665624320507
65,72,3.001299,147456,2260,1.0125064849853516,0.04658203125,0.00025,320.5783386230469,-0.00394895562203601,622.8103974342346,0.0016613215,0.4172770380973816,0.2,710,-1.4320563793182373
66,73,3.956461,149504,2260,1.014634370803833,0.0021484375,0.00025,38.438533782958984,0.00027938702696701513,133.5715935230255,0.0012252687,0.7373853623867035,0.2,720,-1.4321347624063492
67,74,-0.25902897,151552,2261,1.017741084098816,0.00224609375,0.00025,449.14556884765625,-0.0006444725033361465,448.6995018005371,0.0017668149,0.5730333924293518,0.2,730,-1.4350365348160268
67,75,-1.4801594,153600,2262,1.0215106010437012,0.01318359375,0.00025,359.0043029785156,0.0008701565559022129,591.2539209365844,0.0022511065,0.45799142122268677,0.2,740,-1.4384284503757954
68,76,-3.8026063,155648,2263,1.0245214700698853,0.000146484375,0.00025,68.18633270263672,-0.0001552034169435501,152.63905863761903,0.00079935044,0.6994296610355377,0.2,750,-1.441510185599327
69,77,1.5697429,157696,2264,1.020508050918579,0.011572265625,0.00025,234.11476135253906,-0.001587076688883826,457.7306233406067,0.0034357738,0.5649414360523224,0.2,760,-1.441616101562977
